SEX ,BT ,SPINFINE ,yWool ,yearlingAGE ,AdultAge   ,Dag  ,CCov ,BDWR ,Pregnancy ,BCS ,Weight  ,DryWt ,Rain ,Temp ,AdultWool
2,2,17.8,2.8,393,279,2,2,2,1,3,43.5,0.93,1.58,6.09,3.3
2,2,17.3,5.7,464,366,2,5,1,1,2.5,47.6,1.49,0.84,8.76,4.3
2,1,14.6,3.3,308,364,2,5,3,1,3,34.2,1.15,0.98,11.57,6.9
2,1,12.8,4.6,459,368,2,2,2,0,3,41,0.66,1.42,9.01,4.2
2,3,16.8,3.3,342,348,2,4,3,2,2.5,31.8,1.42,1.05,11.78,6
2,1,15.4,2.79,324,366,1,5,1,2,4,60.9,0.99,1.07,10.15,3.81
2,2,17.2,3.4,420,359,3,2,1,1,2.5,47.2,1.91,1.57,9.96,3
2,1,13.4,1.7,322,360,1,4,2,0,3,20.2,0.96,2.13,9.32,3.3
2,1,27.5,3.9,302,331,2,4,2,2,3.3,39.5,2.95,2.16,9.49,3.2
2,1,15.3,2.9,395,279,2,2,2,1,3.5,51.1,0.93,1.58,6.09,3.3
2,2,14.8,2.4,305,364,2,5,4,1,3,32.8,1.15,0.98,11.57,4.7
2,1,14.5,3.04,322,350,3,4,4,0,2,28.7,1.18,1.54,10.82,5.369
2,1,17.6,2.9,372,275,3,3,2,1,3.5,51.1,0.93,1.58,6.15,3
2,2,16.2,1.97,308,365,1,4,4,1,2.5,40.1,2.46,3.13,10.22,5.11
2,1,19.7,4.1,462,366,1,5,1,0,3,63.2,1.49,0.84,8.76,2.8
2,2,16.5,3.86,286,354,1,2,2,0,4,46,1.05,1.7,11.9,6.04
2,2,29.2,4.6,428,372,1,4,1,1,3,43.8,1.89,1.22,9.11,3.8
1,2,18.7,7.3,461,219,1,5,2,2,2.5,50.8,1.49,0.84,8.76,2.9
2,2,17.1,4.5,469,363,2,1,3,1,2.5,31.8,1.67,1.09,9.02,4.8
2,1,22.7,2.72,276,373,1,1,2,2,4,57.4,1.76,2.76,11.06,4.9
2,1,19.5,1.6,328,372,1,4,2,0,2.5,27.4,0.96,2.13,9.32,3.6
2,1,15.3,2.6,393,273,1,2,3,1,2.5,29.2,0.96,1.18,6.14,2.8
1,1,17.9,5,293,361,1,3,2,1,3.5,42.5,1.29,1.54,11.22,8.02
2,1,17.5,3.1,376,274,2,2,2,1,3,43.5,0.93,1.58,6.09,3.1
1,2,17.4,3.2,306,364,2,3,3,2,3,42,1.15,0.98,11.57,7.4
2,2,16.7,3,326,369,1,3,2,1,3.5,41,1.02,1.06,12.3,5.6
2,2,21.4,2.7,321,371,4,3,2,1,2.5,37,2.15,2.51,8.28,3.3
2,1,15.7,3,375,280,1,2,2,1,3.5,50.1,0.93,1.58,6.09,3.7
1,1,14.9,3.1,323,375,3,3,3,2,1.5,32,2.17,2.52,8.19,4.3
2,1,15.9,3.5,303,331,5,5,3,1,3,31,2.95,2.16,9.49,6.1
2,1,15.9,2.8,294,376,3,3,2,1,4,59.1,1.78,2.59,8.48,4.2
2,1,23.9,3.7,424,372,3,2,1,1,2.5,49.2,1.89,1.22,9.11,3.7
2,2,22.8,4.3,332,374,2,4,1,0,3.5,47.7,1.51,1.63,11.56,6.1
1,1,14.8,2.9,323,368,2,4,2,2,3.5,42,1.02,1.06,12.3,5.8
1,2,13.8,2.2,306,364,1,4,4,1,3,39,1.15,0.98,11.57,5.5
2,2,15.9,4,340,348,2,5,2,1,3,47.6,1.42,1.05,11.78,6.8
2,2,17,3.67,285,353,2,3,3,2,3,45,1.05,1.7,11.9,7.08
2,2,15,3.8,469,363,2,1,2,1,2.5,35.2,1.67,1.09,9.02,4.8
2,1,29,3.9,394,274,2,2,1,2,3.5,52.5,0.93,1.58,6.15,3.2
1,2,16.3,4.5,298,366,1,4,3,2,2.7,50.8,0.81,1.84,14.3,8.8
2,2,17.1,3.8,301,354,1,3,2,2,3,40.8,0.86,1.53,13.78,7.4
1,1,14.5,3.2,365,355,2,4,2,2,2,36.2,1.34,1.83,8.27,3.75
2,2,14.5,2.08,322,366,1,5,2,1,2.5,20.1,0.99,1.07,10.15,4.79
